0,1
862,7879
862,1748707
862,1748709
8844,4945
15602,26502
31357,2178
11862,56106
949,638
949,1478953
949,212137
11860,2226
11860,1464541
45325,18357
9091,37710
710,10702
710,1398136
9087,3026
12110,14639
21032,21879
10858,1152
1408,16938
524,1032
4584,1614
5,3110
5,3111
5,2294
5,138
5,71901
5,1120536
5,1342669
9273,4489
11517,52629
11517,1534622
8012,5174
1710,15148
1710,1433649
9691,7187
12665,56349
451,6111
16420,56710
9263,15798
17015,7017
902,2419
902,13680
37557,607
9909,60295
9909,1342644
63,280
63,1546213
63,3973
63,1215659
78802,2352
78802,1704110
9598,58137
47018,12952
47018,1406986
687,504
687,30601
687,52991
687,1393455
139405,77867
139405,1395701
33689,17167
9603,57434
34615,16730
31174,33315
11443,11447
11443,11448
35196,52405
9312,4014
9312,1158477
577,5216
11861,3047
807,7467
10530,65530
10530,65531
10530,1447483
10530,1447587
8391,55439
629,9032
629,1431027
629,1402170
117164,100505
11448,1243
11448,1459591
49133,128107
26441,71338
97406,140354
124057,30586
9089,1038
9089,958273
11010,28898
99040,38527
11359,7908
17182,19304
17182,1341865
2054,18356
2054,1397738
2054,957353
10607,45649
19760,49361
9536,57870
11525,69721
40628,15890
4482,35137
10634,37932
755,2294
755,71901
755,1685556
755,1438430
11859,70850
28387,5656
48750,16862
20927,10296
20927,91160
20927,91059
20927,18274
36929,58712
9102,25735
124626,1080309
27526,2228
9623,18069
46785,120229
400,5501
880,13496
146599,27771
188588,117075
8447,55038
8447,1413950
10534,578
17414,29009
13997,58448
2086,12840
61548,72624
9095,3224
12158,5140
9283,34849
9283,1399481
9208,11401
40154,11181
406,2406
45549,4014
63076,92561
11062,23213
13685,5655
47475,14692
2045,21053
9614,17494
688,190
11907,18969
10874,65298
89333,64077
96357,1234226
197,2461
103,1032
103,1459591
103,1568511
103,1565149
103,18855
33542,44916
43566,23393
71754,184475
43612,20849
51352,82293
16934,81020
10324,68185
78406,12989
55731,36147
32119,60295
11066,68215
11104,12453
37975,65314
2074,17883
2074,1209612
27793,16589
44284,239321
290157,93632
110972,122583
110972,230464
32622,41670
73067,125543
11863,15175
55475,114997
124636,84445
9101,12920
9101,1321432
123360,1077999
5757,45382
39428,93911
124639,1080311
9302,18250
11000,5342
249882,1285121
16388,12833
9737,865
30765,56828
10474,65390
10474,1467080
22279,10723
22279,1338245
30157,91343
568,6159
568,13930
568,1393455
11780,30365
34996,39104
414,5572
414,35664
649,793
649,1319688
649,1656603
1873,19665
5894,46391
5894,39819
1775,17087
8839,11887
8839,119310
8839,1341865
20649,5281
10329,664
8963,893
8963,1422074
26564,17447
8068,2294
8068,1429253
8512,21712
1572,1090
13552,19224
259209,68774
259209,1836623
6520,3415
9073,56998
10428,1978
10428,1394104
17447,252806
9886,59997
9482,33279
19326,58316
9344,51917
9071,6400
8973,31211
15730,38516
47608,42617
2293,19303
9070,42111
68274,44847
48787,58384
34574,54469
34574,1521769
1642,11472
11472,10965
11472,1480099
36196,56714
11980,28902
58372,26487
58372,1399481
32646,16863
10533,8965
10802,10491
10149,39819
10149,46391
18402,5306
9348,21370
9348,3973
139408,408
281,14392
5967,24882
79593,17880
79593,587969
47939,63713
36834,1128
9090,20237
9090,992965
3512,32277
52856,3092
77350,588623
9560,22767
9560,1377239
9560,1493077
9804,8300
9804,62543
9804,1341865
31611,73494
65796,1723
49805,6111
26258,17309
50797,82796
50797,1584749
19155,1364800
19155,1537556
19155,1537557
19155,1537558
19155,1537567
19155,1537574
76,564
11017,57691
11017,1400356
37141,43468
9382,18378
6715,44990
18256,27991
22625,19969
22625,1367566
2292,19303
1909,25210
8984,8246
61813,225065
4954,12840
62488,58154
10531,3556
10531,1288056
11929,18596
