director_id,name,gender
1569859,Justin H. McCloskey,x
1043373,Micha X. Peled,x
109544,Andy de Emmony,m
1413698,Arun Tamm,x
591500,Karlheinz Martin,x
124286,Lauri Nurkse,x
1450271,Matthew Ross,x
1036754,Reginald Barker,m
93632,Michel Negroponte,x
1445377,Katrina Saville,x
80161,Iain B. MacDonald,m
113579,Chung Yoon-chul,m
559,Wally Pfister,m
143279,Peter Sellars,x
56998,Dwight H. Little,x
1131110,Maite Ruiz de Austri,x
1709359,Marcia Gay,x
1001023,James Flood,m
52159,James D. Stern,m
228334,Alejandro Chomski,x
1179066,Wes Ball,x
586116,Adam Massey,m
14606,Albert Dupontel,m
1744,Robert Wise,m
1447377,Paul Dutton,m
1069167,Sakae Hirosawa,x
87894,Won Shin-Yeon,m
1800049,Barry Keil,x
550163,Mark Racco,x
1418007,Janice Schumm,x
8940,Jonathan Benson,m
3027,Stephen King,m
54559,Christian Alvart,m
984103,Zachary Stuart-Pontier,m
97131,Fred Vogel,x
1402123,Kate Lewis,x
54248,Christopher B. Landon,m
1380718,Mignonne L. McKern,x
1362508,Herman Wuyts,x
239912,Jay Anania,x
1037296,Dylan C. Brown,x
79546,Richard McGuire,x
77698,David Denneen,x
1294594,Moon Hyun-sung,m
226704,Natalya Uglitskikh,x
1883698,Lydia Schiller,x
84969,Kim Yong-Hwa,m
23968,Phil Alden Robinson,m
1296176,Kazumi Fukushima,x
1493871,Ashley Patterson,x
301901,Robert Krakower,m
10808,Stephen Norrington,m
1050112,Ognjen Glavonić,m
932993,Jamaa Fanaka,x
125525,Wulan Tana,x
1536192,Eric Parenteau,x
1459966,Teresa Violetta Buhl,x
1852581,Valentina de Cassan,x
552106,Michel Lemire,x
591273,Krzysztof Zanussi,m
1663163,Nat G. Deverich,x
1487095,Amanda Kernell,f
233136,Otto Brower,x
1091914,Marlon Riggs,x
1462666,Josh LaBrot,x
7256,Lee Tamahori,m
1267491,Jasmine Dellal,x
63904,Rockne S. O'Bannon,m
7649,Arthur Hilton,m
116801,Michael Addis,x
1326205,Oleg Churkin,x
17883,David O. Russell,m
1540513,Lazar Bodik,x
1187681,Tim Webb,x
548474,Wong Jing,m
1644046,Lutz Gregor,x
40940,Gerald Thomas,m
1339686,Lily La Cava,f
1825168,Matthew Goodwin,x
1228986,David Giles,x
129962,Domenico Saverni,x
1055512,Caroline Suh,x
1537994,Gen Kenkichi,x
1558,Søren Kragh-Jacobsen,m
593079,Nick Simon,x
1706418,Susana Garcia,x
1783000,Star Victoria,x
1721357,Mark Altman,x
978927,Massimo Felisatti,x
55779,John Schneider,m
76010,Arie Posin,x
1091549,Ryan Andrews,x
1311564,Antoinette Jadaone,x
101590,Ciro Ippolito,m
1828331,Sarah Macleod,x
97570,Robert Hartford-Davis,m
1004150,Wesley Barry,x
1680673,Alcione Guerrero,x
1354646,Afia Nathaniel,x
1110434,Patrice Toye,x
1279053,Fu Shen,x
126566,Giles Foster,m
65852,Zoltan Korda,m
1698179,John William Ross,m
1284140,Wolfgang Matzl,x
141824,George Jackson,m
1555478,Robin Abraham,x
530073,Jose Montesinos,m
555064,Joe Ritter,x
1066813,Frank Simon,x
58053,Pang Ho-cheung,m
69838,Chen Shi-Zheng,m
8808,Joachim Fest,x
55121,Rafael Corkidi,x
1871154,Rosalie Carew,x
1558720,Lisa J. Wilder,x
3359,Laurence Olivier,m
11511,Daniel Stern,m
136142,Andrew Goth,x
37742,Gianfranco Parolini,m
121136,Zhang Meng,m
14502,John Ireland,m
1455417,Betty A. Griffin,f
81582,Chris Stapp,m
105343,Renato Polselli,m
29530,Otis Turner,x
120512,Jon Dunham,x
94608,Nancy Bardawil,x
1359202,James Marcus Haney,x
131474,Tom Graeff,m
227392,Daniele Vicari,x
1160636,Joy Mathew,m
83030,Lee Han,x
1139058,Simon Klose,x
15026,James Armstrong,x
46076,Tom Dey,m
961616,Stevie Long,m
1480864,Brandon Kimber,x
119879,Paolo Mazzucato,x
134812,Masao Adachi,x
27991,Stuart Gordon,m
47020,Eric Laneuville,m
1583172,Melody Moss,x
1407697,Sharon Watt,f
1429260,Samaji Nonagase,x
5140,Wes Craven,m
1108711,John Laing,m
1285667,Nathanael Coffman,x
996817,Vicente Franco,x
1232954,Lee David Zlotoff,x
31788,Carlos Enrique Taboada,x
1295039,Nigel Levy,x
1066942,Arnold Stevens,x
17295,Ning Hao,x
1191230,Alison Snowden,x
51894,Juan Antonio Bayona,m
1836421,Pierre Brassard,x
1187609,W.D. Hogan,x
25182,Yves Robert,m
1034587,Alan Ravenscroft,x
550519,Nikolai Rasheyev ,x
490986,Kerry Valderrama,x
222039,Indra Siera,x
1445949,Ben Wu,x
90277,Luke Ricci,x
81856,Nicholas Jarecki,m
1120042,David Dawkins,x
230965,Arne Toonen,x
1311130,Amanda Wilder,x
95433,Suki Hawley,x
48304,Florian Gärtner,m
13776,John Frankenheimer,m
90869,Flamarion Ferreira,x
1021432,Heloisa Sartorato,x
66790,Gösta Ekman,m
148177,Yale Gracey,x
1411860,Jodi Domanic-Riccio,x
1737118,Jennifer Rees-Brown,x
183760,Harry Thomason,m
16830,Boaz Davidson,m
1169157,Timothy Woodward Jr.,x
163641,David Paulsen,x
1312767,Gene Anderson,x
108954,Esther Rots,x
55146,Paul Bogart,m
112841,Rolf Lyssy,x
1779877,Vincenzo Nisco,x
25059,Charles L. Bitsch,x
129715,Agnieszka Wojtowicz-Vosloo,f
84931,Michael Cuesta,m
1173091,Judy Chaikin,x
59803,Brenda Chapman,f
60473,Stan Lathan,m
151073,Cindy Baer,f
11057,Robert Towne,m
51627,Tom Rickman,m
550155,Anna Broinowski,x
1527512,Amy Kernan-Bennett,x
1447569,Marco Cinello,x
1284144,Carlos Faria,x
130514,A.D. Calvo,m
56736,Xavier Palud,m
1855804,Elise Cresson,x
1566166,Mark Lewis,x
1191357,Peng Xiaolian,x
1382436,Lucas Platt,x
107470,Jonathan auf der Heide,m
1020706,Kamen Kalev,x
1295604,François Ruffin,m
86295,Marc F. Adler,m
1217013,Paul Lazarus,x
34611,Howard Zieff,m
1400889,Oliver Thompson,x
1135255,Jean-Christophe Jeauffre,x
134533,Enzo Monteleone,x
545624,Danilo Šerbedžija,x
1423827,Pete Wellington,x
1128183,Elda Tattoli,x
568711,Tom Stern,x
1525957,Catherine Gore,x
1611763,Harry Mieneke,x
77305,He Ping,m
53599,Andrew Morahan,m
144221,Brad Furman,m
1609061,Ben Charles Edwards,x
1407902,Julia Tasker,f
116188,Reinout Oerlemans,m
23684,Bruce W. Smith,x
143385,Fred C. Newmeyer,x
16377,Jerry Seinfeld,m
1304024,David Lane,x
1608421,Ben Smallbone,x
574846,Mark Donskoy,x
139135,Lena Dunham,f
230300,Cam Archer,x
112251,Haruki Kadokawa,m
100847,Francesca DeLaurentiis,x
285452,Pete Jones,x
107721,Aleksandr Voytinskiy,m
90251,Aljosha Klimov,x
131489,Jack Lewis,m
559395,Fez Ortega,x
12770,Denis L. Stewart,m
987173,Paul Rapp,m
124238,Timothy Quay,m
9306,Scott Coffey,m
1197567,Andrew Horn,x
1188445,Nick Bicanic,x
1270,Charles Martin Smith,m
145623,Jang Sun-Woo,x
1458611,Matthew Berkowitz,x
1035385,John Hubley,m
1103518,Kerry Bellessa,x
1607215,Rometta Pietrostefani,x
1895456,Georges Csicsery,x
1141391,Aditya Bhattacharya,x
